Query,K,Recall,ANN_Latency,ENN_Latency
aprendizaje automático para clasificación de texto,12,1.0,136.89,93917.85
aprendizaje automático para clasificación de texto,13,1.0,49.73,93917.85
aprendizaje automático para clasificación de texto,14,1.0,44.24,93917.85
aprendizaje automático para clasificación de texto,15,1.0,50.94,93917.85
redes neuronales para procesamiento del lenguaje natural,1,1.0,64.08,93523.55
redes neuronales para procesamiento del lenguaje natural,2,1.0,44.32,93523.55
redes neuronales para procesamiento del lenguaje natural,3,0.6666666666666666,42.82,93523.55
redes neuronales para procesamiento del lenguaje natural,4,0.75,51.15,93523.55
redes neuronales para procesamiento del lenguaje natural,5,0.8,47.93,93523.55
redes neuronales para procesamiento del lenguaje natural,6,0.8333333333333334,56.23,93523.55
redes neuronales para procesamiento del lenguaje natural,7,0.8571428571428571,57.84,93523.55
redes neuronales para procesamiento del lenguaje natural,8,0.875,54.55,93523.55
redes neuronales para procesamiento del lenguaje natural,9,0.8888888888888888,75.75,93523.55
redes neuronales para procesamiento del lenguaje natural,10,0.8,46.96,93523.55
redes neuronales para procesamiento del lenguaje natural,11,0.8181818181818182,64.88,93523.55
redes neuronales para procesamiento del lenguaje natural,12,0.8333333333333334,61.83,93523.55
redes neuronales para procesamiento del lenguaje natural,13,0.8461538461538461,47.77,93523.55
redes neuronales para procesamiento del lenguaje natural,14,0.8571428571428571,48.17,93523.55
redes neuronales para procesamiento del lenguaje natural,15,0.8666666666666667,55.95,93523.55
knowledge graph embeddings for link prediction,1,1.0,58.07,94539.9
knowledge graph embeddings for link prediction,2,1.0,39.35,94539.9
knowledge graph embeddings for link prediction,3,1.0,49.39,94539.9
knowledge graph embeddings for link prediction,4,1.0,38.53,94539.9
knowledge graph embeddings for link prediction,5,1.0,68.85,94539.9
knowledge graph embeddings for link prediction,6,1.0,39.65,94539.9
knowledge graph embeddings for link prediction,7,1.0,40.61,94539.9
knowledge graph embeddings for link prediction,8,1.0,41.13,94539.9
knowledge graph embeddings for link prediction,9,1.0,39.35,94539.9
knowledge graph embeddings for link prediction,10,1.0,45.83,94539.9
knowledge graph embeddings for link prediction,11,1.0,43.35,94539.9
knowledge graph embeddings for link prediction,12,1.0,45.75,94539.9
knowledge graph embeddings for link prediction,13,1.0,44.57,94539.9
knowledge graph embeddings for link prediction,14,1.0,60.36,94539.9
knowledge graph embeddings for link prediction,15,1.0,52.21,94539.9
sentiment analysis using deep learning,1,1.0,55.64,94219.97
sentiment analysis using deep learning,2,1.0,39.69,94219.97
sentiment analysis using deep learning,3,1.0,39.83,94219.97
sentiment analysis using deep learning,4,1.0,42.39,94219.97
sentiment analysis using deep learning,5,1.0,48.53,94219.97
sentiment analysis using deep learning,6,1.0,57.94,94219.97
sentiment analysis using deep learning,7,1.0,53.57,94219.97
sentiment analysis using deep learning,8,1.0,50.56,94219.97
sentiment analysis using deep learning,9,1.0,51.26,94219.97
sentiment analysis using deep learning,10,1.0,44.4,94219.97
sentiment analysis using deep learning,11,1.0,46.25,94219.97
sentiment analysis using deep learning,12,1.0,52.01,94219.97
sentiment analysis using deep learning,13,1.0,45.56,94219.97
sentiment analysis using deep learning,14,1.0,51.57,94219.97
sentiment analysis using deep learning,15,1.0,44.17,94219.97
deep learning,1,1.0,47.33,92801.07
deep learning,2,1.0,44.36,92801.07
deep learning,3,1.0,45.96,92801.07
deep learning,4,1.0,45.39,92801.07
deep learning,5,1.0,50.25,92801.07
deep learning,6,1.0,45.93,92801.07
deep learning,7,1.0,51.1,92801.07
deep learning,8,1.0,58.91,92801.07
deep learning,9,1.0,44.26,92801.07
deep learning,10,1.0,51.95,92801.07
deep learning,11,1.0,39.64,92801.07
deep learning,12,0.9166666666666666,57.17,92801.07
deep learning,13,0.9230769230769231,44.07,92801.07
deep learning,14,0.9285714285714286,54.41,92801.07
deep learning,15,0.9333333333333333,65.62,92801.07
quantum computing error correction,1,1.0,59.1,92852.77
quantum computing error correction,2,1.0,54.72,92852.77
quantum computing error correction,3,1.0,46.97,92852.77
quantum computing error correction,4,1.0,42.06,92852.77
quantum computing error correction,5,1.0,45.29,92852.77
quantum computing error correction,6,1.0,44.4,92852.77
quantum computing error correction,7,1.0,46.09,92852.77
quantum computing error correction,8,1.0,53.39,92852.77
quantum computing error correction,9,1.0,43.56,92852.77
quantum computing error correction,10,1.0,50.27,92852.77
quantum computing error correction,11,1.0,44.76,92852.77
quantum computing error correction,12,1.0,48.45,92852.77
quantum computing error correction,13,1.0,59.63,92852.77
quantum computing error correction,14,1.0,43.94,92852.77
quantum computing error correction,15,1.0,47.51,92852.77
attention,1,1.0,56.9,92576.51
attention,2,1.0,47.88,92576.51
attention,3,1.0,46.42,92576.51
attention,4,1.0,58.94,92576.51
attention,5,1.0,58.24,92576.51
attention,6,1.0,41.71,92576.51
attention,7,1.0,47.36,92576.51
attention,8,1.0,44.51,92576.51
attention,9,1.0,44.16,92576.51
attention,10,1.0,46.76,92576.51
attention,11,0.9090909090909091,60.7,92576.51
attention,13,0.9230769230769231,56.76,92576.51
attention,14,0.9285714285714286,49.93,92576.51
attention,15,0.9333333333333333,66.25,92576.51
